Fechas,Lerma,Bravo,Balsas
2019-11-01,1.6423744,32.281152,17.0750304
2019-11-02,1.32239456,26.9859104,13.9884992
2019-11-03,1.14399872,21.8322528,11.6665216
2019-11-04,1.01090976,19.0572064,10.1657312
2019-11-05,0.92595936,17.5280992,9.20296
2019-11-06,0.84667232,16.8201792,8.5516736
2019-11-07,0.8070288,16.423744,8.1552384
2019-11-08,1.06471168,25.6833376,10.5338496
2019-11-09,1.06754336,26.2496736,9.91088
2019-11-10,1.10718688,20.954432,13.6770144
2019-11-11,1.00241472,19.7651264,12.4027584
2019-11-12,1.08170176,18.7457216,10.6754336
2019-11-13,1.12700864,19.0005728,9.7409792
2019-11-14,1.27142432,17.6696832,10.0807808
2019-11-15,3.256432,18.8873056,12.3744416
2019-11-16,11.1568192,22.087104,12.6576096
2019-11-17,7.7304864,22.5968064,12.5443424
2019-11-18,4.389104,23.078192,13.7053312
2019-11-19,3.0298976,21.6340352,14.2716672
2019-11-20,2.43807648,19.5952256,13.167312
2019-11-21,2.1662352,18.0944352,11.5532544
2019-11-22,1.9538592,17.273248,10.3639488
2019-11-23,2.20021536,16.9617632,9.7976128
2019-11-24,2.48904672,19.3120576,9.6560288
2019-11-25,2.4494032,18.9156224,9.8542464
2019-11-26,2.24835392,17.8112672,9.9391968
2019-11-27,2.06995808,17.7546336,9.8825632
2019-11-28,1.93120576,20.8411648,11.8081056
2019-11-29,1.87740384,20.7562144,15.6875072
2019-11-30,1.86324544,20.812848,19.82176
2019-12-01,1.95102752,21.0110656,17.7263168
2019-12-02,2.04447296,23.7294784,14.8946368
2019-12-03,2.11243328,21.0393824,12.7142432
2019-12-04,1.97368096,19.255424,11.5815712
2019-12-05,1.8547504,18.264336,10.8170176
2019-12-06,1.77829504,17.6130496,10.335632
2019-12-07,1.7698,19.3403744,10.9586016
2019-12-08,1.75280992,19.7934432,11.8081056
2019-12-09,1.78679008,19.11384,12.0912736
2019-12-10,1.88023552,19.255424,11.7231552
2019-12-11,1.99350272,21.662352,18.3776032
2019-12-12,1.99916608,23.7011616,18.264336
2019-12-13,9.1463264,32.281152,19.8500768
2019-12-14,39.64352,66.827648,50.687072
2019-12-15,23.3330432,67.677152,59.46528
2019-12-16,10.7887008,50.687072,58.615776
2019-12-17,25.9948224,85.233568,85.233568
2019-12-18,44.457376,137.902816,108.170176
2019-12-19,18.6607712,106.754336,77.588032
2019-12-20,11.5815712,70.508832,59.46528
2019-12-21,9.3162272,56.916768,43.89104
2019-12-22,50.403904,78.154368,79.853376
2019-12-23,206.146304,148.946368,159.98992
2019-12-24,121.479072,174.14832,152.061216
2019-12-25,50.120736,132.522624,123.744416
2019-12-26,30.015808,109.01968,101.94048
2019-12-27,23.3330432,87.78208,90.330592
2019-12-28,20.4164128,66.261312,79.853376
2019-12-29,18.4342368,54.368256,59.46528
2019-12-30,16.848496,51.536576,46.156384
2019-12-31,14.7530528,51.819744,39.926688
