Fechas,Montebello,Arareco,Chapala
2020-04-17 21:45,662970830.4,537599923.2,715911792
2020-04-17 22:00,662970830.4,537698601.6,715911792
2020-04-17 22:15,662970830.4,537698601.6,715911792
2020-04-17 22:30,662970830.4,537698601.6,715665096
2020-04-17 22:45,662970830.4,537698601.6,715911792
2020-04-17 23:00,662970830.4,537698601.6,715418400
2020-04-17 23:15,662970830.4,537698601.6,715418400
2020-04-17 23:30,662970830.4,537797280,715171704
2020-04-17 23:45,662970830.4,537797280,714925008
2020-04-18 00:00,662970830.4,537797280,714925008
2020-04-18 00:15,662970830.4,537698601.6,714184920
2020-04-18 00:30,662970830.4,537797280,713814876
2020-04-18 00:45,662970830.4,537797280,713814876
2020-04-18 01:00,662970830.4,537797280,713814876
2020-04-18 01:15,662970830.4,537895958.4,713321484
2020-04-18 01:30,662970830.4,537895958.4,713814876
2020-04-18 01:45,662970830.4,537895958.4,713814876
2020-04-18 02:00,662970830.4,537895958.4,714184920
2020-04-18 02:15,662970830.4,537895958.4,714061572
2020-04-18 02:30,662970830.4,537994636.8,714061572
2020-04-18 02:45,662970830.4,537994636.8,713814876
2020-04-18 03:00,662970830.4,537994636.8,713321484
2020-04-18 03:15,662970830.4,537994636.8,712828092
2020-04-18 03:30,662970830.4,537994636.8,712581396
2020-04-18 03:45,662970830.4,537994636.8,712088004
2020-04-18 04:00,662526777.6,538093315.2,711471264
2020-04-18 04:15,662526777.6,537994636.8,711471264
2020-04-18 04:30,662970830.4,538093315.2,711717960
2020-04-18 04:45,662970830.4,538093315.2,711717960
2020-04-18 05:00,662970830.4,538093315.2,711717960
2020-04-18 05:15,662970830.4,538191993.6,711964656
2020-04-18 05:30,662526777.6,538191993.6,711717960
2020-04-18 05:45,662526777.6,538191993.6,712088004
2020-04-18 06:00,662526777.6,538191993.6,711717960
2020-04-18 06:15,662526777.6,538290672,711717960
2020-04-18 06:30,662526777.6,538290672,711224568
2020-04-18 06:45,662526777.6,538290672,710977872
2020-04-18 07:00,662526777.6,538290672,710731176
2020-04-18 07:15,662526777.6,538290672,710731176
2020-04-18 07:30,662526777.6,538290672,710484480
2020-04-18 07:45,662526777.6,538389350.4,710484480
2020-04-18 08:00,662526777.6,538389350.4,710484480
2020-04-18 08:15,662526777.6,538389350.4,710731176
2020-04-18 08:30,662526777.6,538389350.4,710977872
2020-04-18 08:45,662526777.6,538389350.4,711224568
2020-04-18 09:00,662526777.6,538389350.4,711224568
2020-04-18 09:15,662526777.6,538488028.8,711471264
2020-04-18 09:30,662526777.6,538488028.8,711224568
2020-04-18 09:45,662526777.6,538488028.8,711224568
2020-04-18 10:00,662526777.6,538488028.8,710977872
2020-04-18 10:15,662526777.6,538488028.8,710731176
2020-04-18 10:30,662526777.6,538586707.2,710731176
2020-04-18 10:45,662526777.6,538488028.8,710484480
